goal,adherence_pct,avg_sleep,avg_soreness,workout_completion_pct,weight_change_kg,weeks_since_last_adjustment,label
cut,88.4,5.2,1.2,98.9,0.33,1,deload_week
maintain,64.9,7.6,1.8,78.7,-0.02,2,stay_course
cut,79.4,4.5,4.0,83.9,-1.18,4,deload_week
cut,50.6,9.3,3.1,33.5,-0.75,1,stay_course
maintain,48.0,6.8,3.1,69.1,-0.55,4,stay_course
bulk,88.9,9.0,2.7,93.5,-0.16,2,increase_intensity
bulk,91.7,6.8,4.0,88.8,-0.67,5,increase_calories
maintain,77.6,5.9,1.3,50.0,-0.68,3,stay_course
bulk,44.8,5.3,2.5,40.7,-0.86,4,deload_week
maintain,59.9,6.8,1.2,88.3,-0.33,5,stay_course
bulk,41.2,8.9,3.3,63.4,1.33,3,reduce_calories
maintain,91.2,9.3,2.7,82.3,0.14,5,increase_intensity
cut,69.3,5.9,2.9,57.2,0.51,4,stay_course
bulk,49.9,6.8,1.5,73.6,-1.42,4,stay_course
bulk,73.9,4.6,3.6,39.5,-0.11,1,deload_week
maintain,62.7,5.6,2.3,83.3,-0.36,4,stay_course
maintain,90.1,6.9,4.0,33.6,1.36,2,reduce_calories
bulk,44.1,9.3,1.2,32.2,-0.76,1,stay_course
bulk,49.1,5.1,3.7,69.5,-0.85,6,deload_week
maintain,86.0,5.3,3.4,82.4,-1.16,2,deload_week
maintain,46.5,4.6,2.2,77.4,1.37,4,deload_week
bulk,51.9,7.5,4.3,47.0,0.59,3,deload_week
bulk,76.0,5.1,4.9,84.8,-0.46,4,deload_week
bulk,62.2,7.0,2.4,89.5,0.97,1,stay_course
maintain,97.6,7.7,4.3,79.5,-0.19,6,deload_week
bulk,97.9,5.9,4.2,67.7,-0.05,4,deload_week
bulk,75.5,6.1,2.0,95.4,-0.66,4,increase_intensity
cut,85.0,7.3,3.7,53.5,-0.02,3,reduce_calories
cut,69.3,6.3,2.0,49.6,0.29,3,stay_course
bulk,40.6,9.2,1.3,80.4,-0.03,2,stay_course
bulk,68.6,8.1,2.8,31.2,-0.62,4,stay_course
bulk,54.6,7.8,2.5,68.7,-0.47,6,stay_course
bulk,59.8,8.0,2.1,47.6,-1.14,2,stay_course
maintain,47.2,7.2,4.0,43.0,-0.85,4,increase_calories
maintain,83.5,9.4,3.1,49.8,-1.2,2,increase_calories
maintain,53.6,5.4,1.1,67.4,-0.68,1,deload_week
bulk,57.5,9.2,3.6,82.7,-1.19,1,stay_course
bulk,57.1,6.9,2.4,97.6,-0.74,4,stay_course
cut,89.3,6.5,1.3,74.1,-1.34,2,increase_intensity
bulk,96.9,4.9,2.0,69.1,-0.25,5,deload_week
bulk,53.5,7.1,2.8,61.0,1.08,4,reduce_calories
maintain,74.1,4.8,4.8,36.9,0.79,6,deload_week
cut,55.9,4.9,2.0,68.6,-1.03,4,deload_week
maintain,81.4,6.8,1.1,50.2,-0.65,4,stay_course
cut,81.2,9.1,4.2,73.8,0.48,2,deload_week
maintain,46.9,5.6,1.6,48.6,-1.07,1,increase_calories
cut,87.6,7.5,4.3,94.5,-0.18,4,deload_week
bulk,58.2,6.5,2.1,67.8,-0.19,5,stay_course
cut,93.4,8.2,3.4,31.8,-0.81,6,stay_course
bulk,75.2,4.6,4.1,87.5,0.23,2,deload_week
maintain,71.1,6.7,2.1,99.8,-0.19,4,increase_intensity
cut,68.2,6.5,2.3,37.3,-1.02,4,stay_course
bulk,69.7,7.8,2.6,83.2,-1.39,1,stay_course
maintain,55.1,5.1,4.1,90.5,0.97,1,deload_week
bulk,92.2,6.8,1.2,66.3,0.37,4,stay_course
bulk,66.5,4.8,2.1,39.2,-0.64,6,deload_week
maintain,47.3,9.4,3.4,46.8,-1.02,5,increase_calories
cut,73.1,5.0,5.0,93.9,-0.12,1,deload_week
bulk,89.9,7.0,3.9,65.6,-0.68,4,increase_calories
maintain,54.6,7.3,2.5,94.5,0.02,2,stay_course
cut,56.6,8.5,2.7,95.4,0.02,1,stay_course
maintain,83.6,8.7,3.3,76.2,1.1,4,reduce_calories
bulk,69.1,6.2,4.1,56.4,1.3,2,reduce_calories
bulk,54.3,6.4,4.4,58.8,-0.55,4,deload_week
bulk,94.8,6.4,5.0,85.5,0.46,2,deload_week
maintain,97.9,5.1,4.9,53.2,-1.2,4,deload_week
cut,71.6,6.8,3.9,58.7,0.46,2,stay_course
cut,68.2,9.3,2.4,78.5,0.45,3,stay_course
bulk,91.6,6.4,2.3,80.3,0.78,5,increase_intensity
cut,77.0,5.7,3.7,50.1,-0.82,1,stay_course
maintain,98.7,8.3,3.8,37.0,-1.0,3,increase_calories
cut,42.8,8.5,2.2,56.2,-1.06,5,stay_course
maintain,74.0,8.5,1.7,35.5,1.11,5,reduce_calories
bulk,54.4,9.1,1.6,62.3,-0.74,3,stay_course
bulk,40.6,8.5,4.6,77.4,-1.03,4,deload_week
maintain,99.3,6.0,4.8,78.3,-0.13,3,deload_week
cut,100.0,8.8,1.4,56.7,-0.42,3,stay_course
bulk,57.7,9.4,3.6,49.2,0.2,6,stay_course
bulk,98.4,9.1,4.0,88.3,1.21,2,reduce_calories
bulk,88.1,5.6,1.8,47.5,0.77,6,stay_course
bulk,90.3,7.6,4.6,75.2,-0.57,4,deload_week
cut,74.8,8.2,1.4,50.7,0.74,2,stay_course
cut,47.9,7.2,4.9,67.2,1.24,2,deload_week
maintain,94.8,9.2,4.9,50.7,1.11,1,deload_week
maintain,97.8,5.2,4.9,90.2,0.67,4,deload_week
bulk,61.9,8.5,1.1,67.6,-0.14,6,stay_course
bulk,80.3,7.4,4.3,95.8,-1.17,2,deload_week
maintain,41.5,8.9,3.2,94.1,-0.84,1,increase_calories
bulk,89.4,9.0,2.2,58.6,-1.08,1,stay_course
maintain,99.8,5.1,1.9,67.6,-0.33,3,deload_week
bulk,97.0,8.0,3.2,71.1,0.68,4,stay_course
bulk,45.9,6.9,2.6,96.6,-1.4,3,stay_course
cut,66.6,9.3,4.4,37.0,0.56,5,deload_week
bulk,61.5,6.5,1.8,38.6,1.04,4,reduce_calories
cut,79.8,7.7,3.4,31.5,0.86,2,reduce_calories
cut,87.2,5.5,4.3,68.8,0.26,2,deload_week
maintain,86.5,8.4,3.4,49.4,1.45,2,reduce_calories
bulk,55.0,5.4,3.6,31.8,-1.46,2,deload_week
bulk,59.4,5.4,1.2,81.9,0.08,6,deload_week
cut,68.6,8.4,3.1,37.6,0.01,5,stay_course
cut,83.6,9.0,3.6,51.1,0.43,1,stay_course
cut,99.9,8.7,2.7,37.6,0.64,4,reduce_calories
cut,94.0,6.1,1.6,38.8,0.37,5,reduce_calories
bulk,82.7,6.4,3.4,50.6,0.02,4,increase_calories
cut,87.6,5.1,3.6,91.4,0.15,2,deload_week
maintain,67.1,5.6,2.4,61.7,-0.25,1,stay_course
maintain,65.6,7.8,2.5,40.7,1.27,1,reduce_calories
cut,89.9,5.0,1.4,81.7,0.94,5,deload_week
cut,75.2,7.3,2.3,38.6,-0.44,6,stay_course
maintain,92.1,8.1,4.9,72.0,-0.45,5,deload_week
bulk,52.8,7.8,1.9,37.6,1.04,3,reduce_calories
cut,85.8,7.4,4.2,89.2,1.42,5,deload_week
bulk,80.5,7.3,3.4,76.0,0.58,1,stay_course
cut,56.4,8.3,4.7,54.6,-0.96,2,deload_week
bulk,79.4,4.8,4.0,98.0,-1.22,5,deload_week
cut,62.6,6.8,1.6,51.8,-0.53,5,stay_course
bulk,45.1,4.8,1.6,73.2,0.52,3,deload_week
maintain,79.7,6.9,2.8,49.1,0.76,1,stay_course
maintain,65.8,5.9,3.7,64.1,0.5,1,stay_course
cut,63.7,7.5,1.0,51.1,-0.87,2,stay_course
maintain,57.4,5.1,3.0,60.1,-1.11,5,deload_week
bulk,53.8,7.3,3.7,54.8,-0.31,6,stay_course
cut,66.2,6.8,1.3,51.9,-0.21,4,stay_course
bulk,78.4,5.9,2.6,97.6,-0.98,5,increase_intensity
maintain,89.9,9.1,1.4,89.1,-0.77,5,increase_intensity
maintain,71.4,6.5,2.2,53.8,-0.5,2,stay_course
cut,70.6,5.1,3.0,93.4,-0.45,6,deload_week
bulk,88.9,5.7,1.6,43.8,0.31,6,stay_course
cut,50.6,8.4,3.0,82.8,0.78,4,stay_course
bulk,95.4,7.3,3.5,73.7,1.09,6,reduce_calories
maintain,49.1,4.8,2.8,51.2,-0.68,1,deload_week
maintain,70.4,6.1,2.8,34.0,1.0,1,reduce_calories
bulk,91.9,8.8,3.5,65.5,-0.11,5,increase_calories
bulk,93.8,6.7,4.2,75.6,-0.54,4,deload_week
bulk,49.1,4.8,1.4,92.9,-0.47,6,deload_week
cut,70.3,5.4,2.0,60.6,-0.18,5,deload_week
bulk,49.5,6.4,2.1,58.6,-0.48,5,stay_course
cut,87.4,7.7,1.3,36.6,0.54,3,reduce_calories
maintain,83.4,7.8,4.6,91.1,-0.5,5,deload_week
bulk,48.5,6.2,4.9,78.9,-0.32,5,deload_week
bulk,96.3,6.0,2.5,85.4,0.94,6,increase_intensity
bulk,89.7,8.2,3.7,66.8,0.44,4,stay_course
bulk,61.7,6.3,1.7,45.0,1.34,4,reduce_calories
cut,53.6,5.2,1.3,89.1,-1.2,5,deload_week
bulk,93.0,4.7,2.3,83.6,-1.11,4,deload_week
cut,49.7,8.7,4.1,86.6,-1.0,4,stay_course
cut,64.7,7.9,2.0,61.1,-0.65,6,stay_course
maintain,54.0,5.7,4.9,84.9,1.21,2,deload_week
maintain,80.7,7.4,2.8,83.9,0.83,5,increase_intensity
bulk,65.1,5.3,1.8,72.3,1.12,1,deload_week
bulk,68.8,6.4,4.7,79.8,0.05,1,deload_week
maintain,45.0,5.3,2.8,65.9,0.99,1,deload_week
cut,89.0,8.9,4.7,59.0,-0.31,3,deload_week
cut,63.2,4.9,1.9,52.3,-1.2,6,deload_week
bulk,60.1,5.2,1.2,94.2,-0.08,2,deload_week
bulk,68.1,7.6,4.6,31.3,-0.85,2,deload_week
bulk,96.4,7.5,2.7,84.3,-0.79,1,increase_intensity
cut,54.3,7.7,3.5,34.4,1.01,4,stay_course
bulk,72.2,7.7,3.3,80.3,-0.63,1,stay_course
bulk,61.2,7.4,1.7,76.8,0.07,3,stay_course
cut,97.2,7.2,4.1,65.5,-1.44,4,increase_calories
cut,78.1,9.4,2.0,31.1,0.87,3,reduce_calories
cut,84.0,7.6,4.1,81.5,-0.5,1,stay_course
maintain,72.8,8.6,1.7,84.5,-0.11,6,increase_intensity
maintain,77.9,8.6,1.3,84.3,-0.13,3,increase_intensity
cut,42.6,5.5,1.2,95.3,0.05,5,stay_course
maintain,55.2,8.3,1.8,55.0,0.84,6,reduce_calories
maintain,56.4,8.5,2.7,58.0,-0.18,4,stay_course
maintain,98.4,7.0,3.0,94.7,0.06,1,increase_intensity
bulk,65.5,6.7,5.0,42.6,-0.62,1,deload_week
cut,59.7,6.0,2.8,80.2,-1.0,4,stay_course
maintain,66.8,8.1,4.6,73.0,-0.2,6,deload_week
cut,44.5,7.7,2.5,86.1,0.54,1,stay_course
cut,90.9,7.9,2.8,38.8,-0.79,6,stay_course
maintain,61.7,9.2,1.1,40.7,-0.15,3,stay_course
maintain,66.6,4.9,1.6,55.7,-0.56,3,deload_week
cut,97.6,4.6,1.7,66.2,1.24,1,deload_week
maintain,86.5,8.0,1.9,72.8,0.58,4,increase_intensity
cut,47.4,8.8,2.8,92.9,-0.16,1,stay_course
bulk,98.1,9.4,3.7,79.7,0.15,3,stay_course
maintain,91.1,8.1,4.7,74.6,0.88,5,deload_week
cut,47.3,5.5,1.6,85.3,-1.42,5,increase_calories
bulk,62.1,8.5,3.2,72.8,-1.24,3,stay_course
maintain,100.0,8.1,3.1,83.8,0.97,1,reduce_calories
cut,98.3,7.7,2.8,77.6,-0.47,5,increase_intensity
bulk,75.3,8.3,1.5,65.2,1.1,1,reduce_calories
bulk,49.2,5.3,2.3,79.7,-0.46,5,deload_week
maintain,90.8,5.8,3.5,68.6,-1.12,3,increase_calories
bulk,72.0,7.0,1.7,95.9,-1.04,6,increase_intensity
bulk,83.2,7.5,4.4,69.5,0.98,1,deload_week
cut,42.7,7.7,3.3,75.6,0.8,4,stay_course
bulk,78.3,7.0,3.5,50.3,1.37,4,reduce_calories
cut,88.3,7.9,2.2,35.1,-1.32,4,increase_calories
maintain,69.1,5.5,3.4,51.9,0.66,6,stay_course
maintain,98.5,5.2,2.5,69.3,-0.54,4,deload_week
cut,56.0,5.7,1.4,50.3,-0.35,5,stay_course
maintain,54.9,8.8,1.6,52.9,0.23,3,stay_course
cut,85.8,7.0,3.1,64.9,-0.57,1,stay_course
cut,96.7,7.0,4.9,45.1,-0.44,1,deload_week
maintain,69.7,8.9,3.6,62.9,0.11,1,stay_course
maintain,48.0,5.8,2.5,58.2,-1.36,1,increase_calories
bulk,73.7,6.3,2.2,57.0,-0.15,5,stay_course
maintain,89.5,7.6,3.4,39.0,-1.21,3,increase_calories
maintain,73.5,6.3,1.6,72.2,-0.3,1,increase_intensity
cut,42.3,8.1,4.2,66.4,-1.05,5,deload_week
cut,59.7,7.6,1.7,99.3,0.72,3,stay_course
bulk,60.2,8.6,3.1,79.6,-0.6,1,stay_course
maintain,59.9,5.0,2.7,51.5,1.2,6,deload_week
bulk,41.6,6.9,4.9,84.8,0.83,5,deload_week
cut,83.3,7.4,1.7,74.0,0.36,4,increase_intensity
cut,89.3,5.7,3.3,79.0,-0.93,4,stay_course
maintain,65.1,6.6,1.8,65.1,0.33,4,stay_course
bulk,83.6,8.0,3.1,69.3,1.49,4,reduce_calories
bulk,62.6,9.3,2.8,67.3,0.14,6,stay_course
bulk,80.8,8.5,2.1,63.9,1.37,3,reduce_calories
bulk,57.9,9.2,4.9,84.0,0.61,6,deload_week
bulk,69.3,6.9,3.2,95.4,0.66,3,stay_course
cut,74.4,7.2,4.6,57.6,-0.46,2,deload_week
maintain,42.5,9.3,1.3,94.7,0.47,6,stay_course
maintain,52.8,8.6,2.1,69.3,-0.69,1,stay_course
bulk,84.5,5.7,1.2,93.4,-0.82,2,increase_intensity
cut,46.0,6.2,2.9,77.7,-1.09,5,stay_course
cut,64.4,9.2,4.5,63.4,-0.9,3,deload_week
maintain,57.1,4.8,4.1,75.7,-0.8,6,deload_week
bulk,91.0,4.7,4.7,59.3,1.01,1,deload_week
maintain,87.3,5.4,4.0,91.1,-0.63,1,deload_week
cut,57.9,7.5,4.7,53.5,-0.14,6,deload_week
bulk,71.5,8.9,1.5,65.3,-0.68,1,stay_course
maintain,49.7,6.8,2.0,43.0,0.71,3,stay_course
bulk,80.5,5.5,3.4,74.7,-0.28,4,increase_calories
bulk,59.7,6.5,1.4,98.7,-0.07,2,stay_course
cut,55.6,5.7,4.0,96.8,-0.59,6,stay_course
bulk,40.7,7.8,3.8,34.3,-1.15,3,stay_course
cut,64.3,7.0,4.6,79.2,-0.57,1,deload_week
bulk,95.0,6.0,3.5,45.3,-1.1,2,increase_calories
maintain,84.9,7.5,2.7,68.4,-0.09,5,stay_course
bulk,89.5,8.3,3.7,71.7,0.86,5,stay_course
maintain,71.7,6.3,4.7,37.9,0.99,5,deload_week
cut,74.4,5.2,2.3,66.4,-1.15,2,deload_week
bulk,75.0,5.0,3.0,86.6,-0.14,5,deload_week
maintain,67.4,4.8,2.8,86.5,0.67,4,deload_week
maintain,89.0,8.2,3.3,33.2,-0.47,1,stay_course
bulk,99.6,9.2,1.3,95.4,-1.4,4,increase_intensity
cut,86.1,8.3,4.9,75.2,-0.24,4,deload_week
maintain,92.2,9.0,2.5,77.8,0.49,5,increase_intensity
cut,79.2,6.2,1.7,67.6,0.09,6,reduce_calories
cut,90.1,8.3,4.9,62.4,0.66,4,deload_week
bulk,62.8,5.6,2.8,40.9,-0.93,6,stay_course
cut,41.9,7.8,3.5,95.5,1.17,2,stay_course
cut,44.0,7.5,2.8,77.0,1.12,2,stay_course
bulk,42.7,6.7,3.2,82.8,0.83,2,stay_course
bulk,99.6,5.7,4.7,70.3,0.23,6,deload_week
maintain,54.2,8.9,4.9,66.5,-0.26,3,deload_week
cut,73.4,7.5,3.9,42.3,0.54,5,stay_course
maintain,42.8,6.2,3.6,56.7,0.07,6,stay_course
maintain,64.5,6.0,1.7,67.7,-0.78,2,stay_course
maintain,91.5,5.2,2.9,34.0,-0.26,4,deload_week
bulk,71.8,6.4,2.0,53.1,-1.26,4,stay_course
maintain,45.5,8.1,1.8,48.8,0.52,5,stay_course
cut,92.4,5.4,4.0,80.7,0.18,4,deload_week
cut,92.2,6.2,4.8,31.1,1.31,6,deload_week
cut,84.8,8.3,4.7,78.7,0.61,4,deload_week
cut,73.1,8.4,2.5,67.4,-0.42,3,stay_course
maintain,70.8,7.0,1.4,98.7,-0.09,3,increase_intensity
cut,62.2,6.6,3.3,45.5,-1.06,3,stay_course
bulk,96.1,7.4,2.7,40.7,-0.51,4,increase_calories
bulk,90.0,7.0,3.6,77.9,-0.73,4,increase_calories
bulk,78.5,7.0,1.7,85.6,-0.99,6,increase_intensity
bulk,69.3,9.1,3.2,74.9,-1.32,1,stay_course
cut,96.7,7.8,4.1,58.9,1.03,2,reduce_calories
cut,82.4,4.5,3.0,56.1,0.35,6,deload_week
bulk,94.8,7.8,1.1,67.3,-0.27,1,stay_course
bulk,83.3,7.2,2.1,65.2,0.59,4,stay_course
cut,46.4,5.0,1.6,43.4,0.08,3,deload_week
maintain,87.7,4.9,4.8,62.1,-0.77,6,deload_week
cut,58.0,8.6,1.3,99.4,0.45,1,stay_course
cut,64.3,6.4,2.9,74.6,0.61,1,stay_course
maintain,90.7,7.7,2.3,98.4,1.42,5,increase_intensity
cut,53.8,9.0,3.8,69.7,-0.69,1,stay_course
bulk,95.5,9.0,3.3,32.3,1.29,3,reduce_calories
cut,97.7,7.4,4.0,79.9,-0.31,1,stay_course
maintain,49.7,5.7,4.3,57.2,1.19,3,deload_week
maintain,85.3,5.2,5.0,80.7,0.0,3,deload_week
cut,45.9,5.7,1.3,72.4,0.34,5,stay_course
maintain,98.1,6.1,3.5,84.8,-0.15,2,stay_course
maintain,73.2,6.4,1.7,71.0,-0.36,5,increase_intensity
maintain,87.9,8.1,1.3,40.8,0.64,6,stay_course
cut,84.4,6.1,1.4,30.4,-0.58,3,stay_course
maintain,46.1,4.9,2.7,69.0,0.04,1,deload_week
cut,45.4,7.3,3.4,84.9,1.09,1,stay_course
maintain,64.8,8.4,3.9,69.2,1.48,2,reduce_calories
bulk,71.3,7.9,1.7,48.8,-0.69,2,stay_course
cut,50.0,5.9,2.2,84.8,-0.42,2,stay_course
bulk,77.5,7.5,1.8,37.5,-0.59,4,increase_calories
maintain,90.5,6.4,4.4,60.8,-0.21,6,deload_week
bulk,48.2,6.1,4.8,44.1,-0.56,4,deload_week
maintain,57.5,8.0,3.0,70.3,-0.77,4,stay_course
maintain,89.0,6.5,1.5,69.5,0.28,5,stay_course
cut,80.9,7.3,4.8,62.3,0.63,4,deload_week
maintain,89.9,4.8,4.4,85.7,0.52,2,deload_week
bulk,58.2,5.8,1.6,59.6,-0.37,4,stay_course
bulk,68.8,6.5,3.0,94.4,0.58,5,stay_course
cut,87.4,6.3,4.6,67.6,0.41,1,deload_week
cut,86.1,7.8,2.4,75.3,-1.37,6,increase_intensity
bulk,78.8,9.3,2.3,85.7,-1.18,1,increase_intensity
maintain,53.3,8.2,3.2,78.1,-0.84,3,increase_calories
maintain,67.8,7.9,3.8,40.6,1.49,4,reduce_calories
cut,57.7,9.1,1.3,88.2,0.69,3,stay_course
maintain,60.6,8.4,3.1,54.4,-1.21,6,increase_calories
bulk,67.1,4.8,1.2,79.8,-1.43,3,deload_week
bulk,46.6,8.5,4.7,81.8,0.05,5,deload_week
cut,59.9,6.6,2.8,85.8,0.39,2,stay_course
bulk,79.4,6.5,3.9,91.8,-0.15,4,increase_calories
maintain,40.3,5.6,2.1,79.3,0.89,5,reduce_calories
cut,88.0,7.2,2.5,43.8,-1.16,6,stay_course
maintain,71.7,7.7,3.4,72.8,0.26,3,stay_course
maintain,90.7,7.6,4.3,79.4,-0.61,5,deload_week
bulk,45.1,5.2,1.5,51.4,-0.95,6,deload_week
cut,70.6,6.6,1.6,56.9,-0.94,6,stay_course
bulk,81.6,7.7,5.0,68.8,-0.03,2,deload_week
cut,58.9,6.8,1.2,55.1,-1.47,2,increase_calories
cut,88.9,9.3,3.0,64.6,0.55,4,reduce_calories
bulk,90.4,6.9,1.3,32.2,0.78,3,stay_course
cut,56.5,7.2,1.7,62.0,0.73,4,stay_course
bulk,70.6,7.4,2.1,68.0,1.47,5,reduce_calories
cut,85.6,6.7,1.9,59.8,0.71,6,reduce_calories
cut,57.9,9.5,2.8,54.4,0.95,4,stay_course
cut,86.5,5.7,4.2,71.2,-0.45,6,deload_week
bulk,78.0,5.3,1.6,44.5,-0.88,1,deload_week
bulk,61.0,5.9,3.2,52.7,0.61,3,stay_course
bulk,56.0,8.8,4.9,77.6,-1.21,4,deload_week
cut,99.5,8.8,1.5,90.6,-0.75,6,increase_intensity
maintain,89.7,8.3,3.7,64.3,0.23,3,stay_course
bulk,64.9,6.8,3.5,91.6,-1.22,5,stay_course
bulk,56.7,9.2,2.5,96.5,-0.52,1,stay_course
bulk,45.6,9.4,3.5,78.8,1.05,5,reduce_calories
maintain,53.1,6.6,1.8,48.8,0.99,3,reduce_calories
bulk,74.7,7.3,2.9,54.1,0.55,1,stay_course
cut,46.0,8.4,2.8,38.7,1.07,4,stay_course
maintain,40.0,9.3,1.8,78.2,-1.1,6,increase_calories
maintain,49.5,9.2,2.1,75.8,-0.75,3,stay_course
bulk,94.2,5.3,2.6,51.4,0.6,2,deload_week
maintain,79.3,8.0,1.0,63.4,-1.1,2,increase_calories
bulk,80.8,4.5,3.8,87.2,1.46,4,deload_week
bulk,47.9,4.9,2.5,81.2,-1.19,3,deload_week
maintain,92.9,5.2,4.1,82.7,-1.1,6,deload_week
cut,44.1,7.3,3.4,41.5,-0.45,2,stay_course
bulk,84.9,9.1,3.5,61.0,-0.85,1,stay_course
cut,85.1,7.4,2.5,97.4,-0.56,2,increase_intensity
cut,56.6,4.9,3.2,72.0,0.32,6,deload_week
cut,90.9,7.8,2.2,66.2,0.03,6,reduce_calories
maintain,57.7,4.8,4.6,96.8,-0.02,1,deload_week
cut,70.0,7.5,3.1,98.4,1.46,3,stay_course
cut,63.2,8.7,2.7,68.2,-0.98,4,stay_course
cut,41.0,4.8,2.0,32.8,-1.32,4,deload_week
bulk,57.2,8.1,4.1,59.7,-0.29,6,stay_course
bulk,72.3,5.3,1.3,35.5,1.26,2,deload_week
bulk,59.6,7.4,4.1,75.5,0.43,3,stay_course
bulk,66.2,9.3,2.0,47.1,1.27,1,reduce_calories
maintain,76.7,4.8,3.7,76.1,-0.97,1,deload_week
bulk,48.2,4.6,3.0,54.3,0.05,6,deload_week
maintain,50.0,5.1,4.1,48.8,1.16,1,deload_week
maintain,88.4,5.9,1.3,79.9,0.23,1,increase_intensity
maintain,67.3,6.3,3.0,69.7,-0.4,3,stay_course
cut,93.7,7.9,1.5,81.9,-1.49,1,increase_intensity
cut,42.8,6.3,4.7,42.5,1.38,1,deload_week
bulk,88.2,8.1,3.6,45.7,-0.76,6,increase_calories
maintain,56.3,4.9,2.5,65.1,1.21,2,deload_week
cut,88.3,9.4,4.8,34.8,-0.1,3,deload_week
maintain,59.6,7.3,1.0,44.0,0.19,3,stay_course
bulk,77.4,6.8,3.4,64.5,0.82,2,stay_course
bulk,94.0,8.3,2.0,30.4,-0.27,2,increase_calories
